,Contrast,Run,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,Run,-,1,2,True,True,1.7562281598350455,8.0,two-sided,0.11711745612088774,0.21959523022666452,fdr_bh,0.979,0.9106503690166812
1,Run,-,1,3,True,True,2.0456332478270354,8.0,two-sided,0.07501502417204721,0.18753756043011802,fdr_bh,1.35,1.01820098042182
2,Run,-,1,4,True,True,3.119077302036678,8.0,two-sided,0.01424854722317149,0.09570750128505834,fdr_bh,4.806,1.4083148217173587
3,Run,-,1,5,True,True,2.447373552545561,8.0,two-sided,0.04010065641951381,0.1503774615731768,fdr_bh,2.157,1.1314820459855628
4,Run,-,1,6,True,True,3.5200000000000005,8.0,two-sided,0.007845903012906892,0.09570750128505834,fdr_bh,7.713,1.377168874392077
5,Run,-,2,3,True,True,1.5523010514126656,8.0,two-sided,0.159191956756303,0.2653199279271717,fdr_bh,0.791,0.3362712008459529
6,Run,-,2,4,True,True,2.9250896965085227,8.0,two-sided,0.019141500257011668,0.09570750128505834,fdr_bh,3.813,0.732533008936839
7,Run,-,2,5,True,True,1.889822365046136,8.0,two-sided,0.09545200899274052,0.20454001927015825,fdr_bh,1.133,0.3856868185592297
8,Run,-,2,6,True,True,2.062842492517587,8.0,two-sided,0.07303679084097757,0.18753756043011802,fdr_bh,1.377,0.7115324630863817
9,Run,-,3,4,True,True,1.2964074471043288,8.0,two-sided,0.2309790525362271,0.3464685788043407,fdr_bh,0.618,0.29286705016789993
10,Run,-,3,5,True,True,0.0,8.0,two-sided,1.0,1.0,fdr_bh,0.322,0.0
11,Run,-,3,6,True,True,1.0894694214056866,8.0,two-sided,0.307673320034633,0.35500767696303803,fdr_bh,0.517,0.287415066801646
12,Run,-,4,5,True,True,-1.15278083540847,8.0,two-sided,0.28227966659718706,0.3528495832464838,fdr_bh,0.544,-0.323795843724112
13,Run,-,4,6,True,True,0.0,8.0,two-sided,1.0,1.0,fdr_bh,0.322,0.0
14,Run,-,5,6,True,True,1.15278083540847,8.0,two-sided,0.28227966659718706,0.3528495832464838,fdr_bh,0.544,0.31647288017728675
15,Switch To,-,1.0,2.0,True,True,-1.6313612901974701,8.0,two-sided,0.1414595019331961,,,0.858,-0.9323135465822254
16,Run * Switch To,1,1.0,2.0,True,True,-2.200076392867707,8.0,two-sided,0.05898688054880665,0.20471082132518909,fdr_bh,1.613,-1.2030075187969924
17,Run * Switch To,2,1.0,2.0,True,True,-1.423806563719262,8.0,two-sided,0.19231399501754484,0.34676738601962076,fdr_bh,0.696,-0.8266831133833655
18,Run * Switch To,3,1.0,2.0,True,True,-2.106565916749885,8.0,two-sided,0.06823694044172969,0.20471082132518909,fdr_bh,1.448,-1.0903233814214337
19,Run * Switch To,4,1.0,2.0,True,True,-1.1239029738980328,8.0,two-sided,0.293645091422957,0.3523741097075484,fdr_bh,0.531,-0.6023386019368342
20,Run * Switch To,5,1.0,2.0,True,True,-1.2958001409182731,8.0,two-sided,0.2311782573464138,0.34676738601962076,fdr_bh,0.617,-0.7194016798565908
21,Run * Switch To,6,1.0,2.0,True,True,-0.7970773192334007,8.0,two-sided,0.4484140195194798,0.4484140195194798,fdr_bh,0.418,-0.43321793673651493
